#,English title,Japanese title,Japanese release date,North American release date
1,Pokémon: The First Movie - Mewtwo Strikes Back,"Mewtwo Strikes Back[8] (ミュウツーの逆襲, Mewtwo no Gyakushū)","July 18, 1998","November 12, 1999"
2,Pokémon: The Movie 2000 - The Power of One,"Mirage Pokémon: Lugia's Explosive Birth (幻のポケモン ルギア爆誕, Maboroshi no Pokémon Lugia Bakutan)","July 17, 1999","July 21, 2000"
3,Pokémon 3: The Movie - Spell of the Unown,"Emperor of The Crystal Tower: ENTEI (結晶塔の帝王 ENTEI, Kesshōtō no Teiō ENTEI)","July 8, 2000","April 6, 2001"
4,Pokémon 4Ever: Celebi - Voice of the Forest,"Celebi: The Meeting that Traversed Time (セレビィ 時を超えた遭遇（であい）, Celebi Toki o Koeta Deai)","July 7, 2001","October 11, 2002"
5,Pokémon Heroes: Latios and Latias,"Guardian Gods of the Capital of Water: Latias and Latios (水の都の護神 ラティアスとラティオス, Mizu no Miyako no Mamorigami Latias to Latios)","July 13, 2002","May 16, 2003"
6,"Jirachi, Wish Maker","Wishing Star of the Seven Nights: Jirachi (七夜の願い星 ジラーチ, Nanayo no Negaiboshi Jirachi)","July 19, 2003","June 1, 2004"
7,Destiny Deoxys,"Visitor from the Sky-Splitting: Deoxys (裂空の訪問者 デオキシス, Rekkū no Hōmonsha Deoxys)","July 17, 2004","January 22, 2005"
8,Lucario and the Mystery of Mew,"Mew and the Aura Hero: Lucario (ミュウと波導（はどう）の勇者 ルカリオ, Mew to Hadō no Yūsha Lucario)","July 16, 2005","September 19, 2006"
9,Pokémon Ranger and the Temple of the Sea,"The Pokémon Ranger and the Prince of the Sea: Manaphy (ポケモンレンジャーと蒼海（うみ）の王子 マナフィ, Pokémon Renjā to Umi no Ōji Manaphy)","July 15, 2006","March 23, 2007"
10,The Rise of Darkrai,"Dialga VS Palkia VS Darkrai (ディアルガVSパルキアVSダークライ, Dialga Tai Palkia Tai Darkrai)","July 14, 2007","February 24, 2008"
11,Giratina & the Sky Warrior,"Giratina and the Bouquet of the Frozen Sky: Shaymin (ギラティナと氷空（そら）の花束 シェイミ, Giratina to Sora no Hanataba Sheimi)","July 19, 2008","February 13, 2009"
12,Arceus and the Jewel of Life,"Arceus: To Conquering Space-Time (アルセウス 超克の時空へ, Arceus Chōkoku no Jikū e)","July 18, 2009","November 20, 2009"
13,Zoroark—Master of Illusions,"Phantom Ruler: Zoroark (幻影の覇者 ゾロアーク, Gen'ei no Hasha Zoroark)","July 10, 2010","February 5, 2011"
14,Black — Victini and Reshiram,"Victini and the White Hero: Reshiram (ビクティニと白き英雄 レシラム, Victini to Shiroki Eiyū Reshiram)","July 16, 2011","December 10, 2011"
15,White — Victini and Zekrom,"Victini and the Black Hero: Zekrom (ビクティニと黒き英雄ゼクロム, Victini to Kuroki Eiyū Zekrom)","July 16, 2011","December 3, 2011"
16,Kyurem vs. the Sword of Justice,"Kyurem vs. the Sacred Swordsman: Keldeo (キュレムVS聖剣士 ケルディオ, Kyurem tai Seikenshi Keldeo)","July 14, 2012","December 8, 2012"
17,Genesect and the Legend Awakened,"ExtremeSpeed Genesect: Mewtwo Awakens (神速のゲノセクト ミュウツー覚醒, Shinsoku no Genesect Mewtwo Kakusei)","July 13, 2013","October 19, 2013"
18,Diancie and the Cocoon of Destruction,"Diancie and the Cocoon of Destruction (破壊の繭とディアンシー, Hakai no Mayu to Diancīe)","July 19, 2014","November 8, 2014"
19,Hoopa and the Clash of Ages,"The Archdjinni of the Rings: Hoopa (光輪の超魔神 フーパ, Ring no Chōmajin Hoopa)","July 18, 2015","December 19, 2015"
20,Volcanion and the Mechanical Marvel,"Volcanion and the Exquisite Magearna (ボルケニオンと機巧のマギアナ, Volcanion to Karakuri no Magearna)","July 16, 2016","December 5, 2016"
21,I Choose You!,"I Choose You! (キミにきめた！, Kimi Ni Kimeta!)","July 15, 2017","November 25, 2017"
22,The Power of Us[9],"Everyone's Story (みんなの物語, Minna no Monogatari)","July 13, 2018","December 8, 2018"
23,Detective Pikachu,Meitantei Pikachū (名探偵ピカチュウ),"May 10, 2019","May 3, 2019"
24,Mewtwo Strikes Back: Evolution,"Mewtwo Strikes Back: Evolution[10] (ミュウツーの逆襲 EVOLUTION, Mewtwo no Gyakushū EVOLUTION)","July 12, 2019","February 27, 2020"
25,Secrets of the Jungle,"Coco (ココ, Kōkō)","December 25, 2020","October 8, 2021"