title,category,console,publisher,release_year,abbr_title,game_url,game_id,release_date,last_update,japan_sales,na_sales,europe_sales,others_sales,total_units,total_shipped,meta_score,user_review,near_movie_release,release_gap_days,release_gap_years
Pokémon Red / Green / Blue Version,CORE_RPG,GB,Nintendo,1998,R/G/B,https://www.vgchartz.com/game/4030/pokemon-red-green-blue-version/?region=All,4030,1998-09-30,,10.22,11.27,8.89,1.0,31.37,31.38,,,0,,
Pokémon Snap,SPIN_OFF,N64,Nintendo,1999,Snap,https://www.vgchartz.com/game/1766/pokemon-snap/?region=All,1766,1999-06-30,4/20/2018,0.66,2.23,0.68,0.06,3.63,3.63,77.0,7.7,1,273 days,0.7479452054794521
Pokémon Pinball,SPIN_OFF,GBC,Nintendo,1999,Pinball,https://www.vgchartz.com/game/4028/pokemon-pinball/?region=All,4028,1999-07-31,1/6/2018,1.01,3.02,1.12,0.16,5.31,5.31,,,1,31 days,0.08493150684931507
Pokémon Yellow: Special Pikachu Edition,CORE_UPGRADE,GB,Nintendo,1999,Y,https://www.vgchartz.com/game/4035/pokemon-yellow-special-pikachu-edition/?region=All,4035,1999-10-19,,3.12,5.89,5.04,0.59,14.64,14.64,,,1,80 days,0.2191780821917808
Pokémon Stadium,SPIN_OFF,N64,Nintendo,2000,Stadium,https://www.vgchartz.com/game/1767/pokemon-stadium/?region=All,1767,2000-03-06,,0.94,3.18,1.24,0.09,5.45,5.46,,,1,139 days,0.38082191780821917
Pokémon Trading Card Game,SPIN_OFF,GB,Nintendo,2000,TCG,https://www.vgchartz.com/game/4033/pokemon-trading-card-game/?region=All,4033,2000-04-10,,1.38,1.49,0.73,0.1,3.7,3.72,,,1,35 days,0.0958904109589041
Pokémon Puzzle League,SPIN_OFF,N64,Nintendo,2000,Puzzle League,https://www.vgchartz.com/game/1764/pokemon-puzzle-league/?region=All,1764,2000-09-01,,0.0,0.36,0.08,0.01,0.45,,81.0,8.5,1,144 days,0.39452054794520547
Pokémon Gold / Silver Version,CORE_RPG,GB,Nintendo,2000,G/S,https://www.vgchartz.com/game/4025/pokemon-gold-silver-version/?region=All,4025,2000-10-14,,7.2,9.0,6.18,0.71,23.1,23.1,,,1,43 days,0.1178082191780822
Pokémon Stadium 2,SPIN_OFF,N64,Nintendo,2001,Stadium 2,https://www.vgchartz.com/game/1768/pokemon-stadium-2/?region=All,1768,2001-03-28,,1.13,1.02,0.36,0.23,2.73,2.54,78.0,8.3,1,165 days,0.4520547945205479
Pokémon TCG,SPIN_OFF,GB,Nintendo,2001,TCG,https://www.vgchartz.com/game/4034/pokemon-card-gb2-grdan-sanjou/?region=All,4034,2001-03-28,,0.89,0.0,0.0,0.0,0.89,,,,1,0 days,0.0
Pokémon Crystal Version,CORE_UPGRADE,GBC,Nintendo,2001,C,https://www.vgchartz.com/game/4021/pokemon-crystal-version/?region=All,4021,2001-07-29,1/6/2018,1.29,2.55,1.56,0.99,6.39,6.39,,,1,123 days,0.336986301369863
Pokémon Ruby / Sapphire Version,CORE_RPG,GBA,Nintendo,2003,R/S,https://www.vgchartz.com/game/4031/pokemon-ruby-sapphire-version/?region=All,4031,2003-03-17,,5.38,6.06,3.9,0.5,16.22,16.22,82.0,8.6,1,596 days,1.632876712328767
Pokémon Pinball: 2,SPIN_OFF,GBA,Nintendo,2003,Pinball 2,https://www.vgchartz.com/game/6388/pokemon-pinball-ruby-amp-sapphire-old-all-region-sales/?region=All,6388,2003-08-26,9/4/2018,0.44,0.68,0.38,0.05,1.56,1.37,82.0,8.6,1,162 days,0.4438356164383562
Pokémon Channel,SPIN_OFF,GC,Nintendo,2003,Channel,https://www.vgchartz.com/game/1760/pokemon-channel/?region=All,1760,2003-12-01,,0.07,0.24,0.06,0.01,0.38,,55.0,6.4,0,97 days,0.26575342465753427
Pokémon Colosseum,SPIN_OFF,GC,Nintendo,2004,Colosseum,https://www.vgchartz.com/game/1761/pokemon-colosseum/?region=All,1761,2004-03-22,,0.7,1.21,0.57,0.07,2.54,2.41,73.0,8.0,1,112 days,0.30684931506849317
Pokémon FireRed / LeafGreen Version,REMAKE,GBA,Nintendo,2004,FR/LG,https://www.vgchartz.com/game/4024/pokemon-firered-leafgreen-version/?region=All,4024,2004-09-07,,3.15,4.34,2.65,0.35,12.0,12.0,81.0,8.55,1,169 days,0.46301369863013697
Pokémon Dash,SPIN_OFF,DS,Nintendo,2005,Dash,https://www.vgchartz.com/game/1762/pokemon-dash/?region=All,1762,2005-03-14,,0.38,0.21,0.14,0.04,0.77,,46.0,4.7,1,188 days,0.5150684931506849
Pokémon Emerald Version,CORE_UPGRADE,GBA,Nintendo,2005,E,https://www.vgchartz.com/game/4023/pokemon-emerald-version/?region=All,4023,2005-04-30,,2.06,2.57,1.58,0.21,7.06,7.06,76.0,8.9,1,47 days,0.12876712328767123
Pokémon XD: Gale of Darkness,SPIN_OFF,GC,Nintendo,2005,XD GD,https://www.vgchartz.com/game/1770/pokemon-xd-gale-of-darkness/?region=All,1770,2005-09-28,,0.31,0.71,0.19,0.03,1.25,1.42,64.0,8.2,0,151 days,0.4136986301369863
Pokémon Trozei!,SPIN_OFF,DS,Nintendo,2006,Trozei,https://www.vgchartz.com/game/1769/pokemon-trozei/?region=All,1769,2006-03-06,,0.31,0.25,0.0,0.02,0.59,,74.0,7.3,0,159 days,0.43561643835616437
Pokémon Mystery Dungeon: Blue Rescue Team,SPIN_OFF,DS,Nintendo,2006,MD: BRT,https://www.vgchartz.com/game/4026/pokemon-mystery-dungeon-blue-rescue-team/?region=All,4026,2006-09-18,,0.83,1.15,0.05,0.0,2.03,3.49,62.0,8.0,1,196 days,0.536986301369863
Pokémon Mystery Dungeon: Red Rescue Team,SPIN_OFF,GBA,Nintendo,2006,MD: RRT,https://www.vgchartz.com/game/4027/pokemon-mystery-dungeon-red-rescue-team/?region=All,4027,2006-09-18,,0.74,0.71,0.52,0.08,2.06,2.36,67.0,8.3,1,0 days,0.0
Pokémon Ranger,SPIN_OFF,DS,Nintendo,2006,Ranger,https://www.vgchartz.com/game/1765/pokemon-ranger/?region=All,1765,2006-10-30,,0.73,1.28,0.03,0.12,2.15,2.93,69.0,7.3,1,42 days,0.11506849315068493
Pokémon Diamond / Pearl Version,CORE_RPG,DS,Nintendo,2007,D/P,https://www.vgchartz.com/game/4022/pokemon-diamond-pearl-version/?region=All,4022,2007-04-28,,6.04,6.38,4.47,1.36,17.67,17.67,85.0,8.25,1,180 days,0.4931506849315068
Pokémon Battle Revolution,SPIN_OFF,Wii,Nintendo,2007,Battle Revolution,https://www.vgchartz.com/game/4019/pokemon-battle-revolution/?region=All,4019,2007-06-25,,0.3,0.78,0.37,0.13,1.59,1.95,53.0,6.7,1,58 days,0.1589041095890411
Pokémon Mystery Dungeon: Explorers of Time / Mystery Dungeon: Explorers of Darkness,SPIN_OFF,DS,Nintendo,2008,MD: EoT/EoD,https://www.vgchartz.com/game/7390/pokemon-mystery-dungeon-explorers-of-time-darkness/?region=All,7390,2008-04-20,,1.54,1.83,1.19,0.37,4.94,4.88,59.5,8.45,1,300 days,0.821917808219178
Pokémon Ranger: Shadows of Almia,SPIN_OFF,DS,Nintendo,2008,Ranger: SoA,https://www.vgchartz.com/game/14751/pokemon-ranger-shadows-of-almia/?region=All,14751,2008-11-10,,0.62,0.94,0.54,0.18,2.28,2.35,68.0,8.1,1,204 days,0.5589041095890411
Pokémon Platinum Version,CORE_UPGRADE,DS,Nintendo,2009,Pt,https://www.vgchartz.com/game/23893/pokemon-platinum-version/?region=All,23893,2009-03-22,,2.69,2.76,1.73,0.54,7.72,7.6,83.0,8.9,1,132 days,0.36164383561643837
Pokémon Mystery Dungeon: Explorers of Sky,SPIN_OFF,DS,Nintendo,2009,MD: EoS,https://www.vgchartz.com/game/33235/pokemon-mystery-dungeon-explorers-of-sky/?region=All,33235,2009-10-12,,0.44,0.57,0.43,0.12,1.56,1.49,54.0,9.0,1,204 days,0.5589041095890411
Pokémon HeartGold / SoulSilver Version    ,REMAKE,DS,Nintendo,2010,HG/SS,https://www.vgchartz.com/game/34267/pokemon-heart-gold-soul-silver-version/?region=All,34267,2010-03-14,,3.96,4.34,2.72,0.76,12.72,12.72,87.0,9.15,1,153 days,0.4191780821917808
Pokémon Ranger: Guardian Signs,SPIN_OFF,DS,Nintendo,2010,Ranger: GS,https://www.vgchartz.com/game/42606/pokemon-ranger-guardian-signs/?region=All,42606,2010-10-04,,0.58,0.5,0.17,0.05,1.3,1.53,68.0,8.1,1,204 days,0.5589041095890411
Pokémon Black / White Version    ,CORE_RPG,DS,Nintendo,2011,B/W,https://www.vgchartz.com/game/44573/pokemon-black-white-version/?region=All,44573,2011-03-06,,5.66,5.51,3.2,0.8,15.64,15.64,87.0,7.7,1,153 days,0.4191780821917808
Learn with Pokémon: Typing Adventure,SPIN_OFF,DS,Nintendo,2011,Typing Adventure,https://www.vgchartz.com/game/47635/learn-with-pokemon-typing-adventure/?region=All,47635,2011-04-21,8/28/2018,0.29,0.0,0.0,0.0,0.29,,,,1,46 days,0.12602739726027398
Pokémon Rumble Blast    ,SPIN_OFF,3DS,Nintendo,2011,Rumble Blast,https://www.vgchartz.com/game/51880/pokemon-rumble-blast/?region=All,51880,2011-10-24,,0.35,0.47,0.26,0.07,1.15,1.4,56.0,6.8,1,186 days,0.5095890410958904
Pokémon Conquest    ,SPIN_OFF,DS,Nintendo,2012,Conquest,https://www.vgchartz.com/game/70562/pokemon-conquest/?region=All,70562,2012-06-18,7/30/2018,0.37,0.56,0.05,0.05,1.02,,80.0,8.3,1,238 days,0.6520547945205479
Pokémon Black 2 and White 2    ,CORE_UPGRADE,DS,Nintendo,2012,B2/W2,https://www.vgchartz.com/game/70468/pokemon-black-2-and-white-2/?region=All,70468,2012-10-07,2/25/2018,3.16,2.79,1.79,0.43,8.16,8.52,80.0,7.9,1,111 days,0.3041095890410959
Pokémon Mystery Dungeon: Gates to Infinity,SPIN_OFF,3DS,Nintendo,2013,MD: GtI,https://www.vgchartz.com/game/71153/pokemon-mystery-dungeon-gates-to-infinity/?region=All,71153,2013-03-24,1/5/2018,0.47,0.44,0.32,0.07,1.31,1.39,59.0,6.3,1,168 days,0.4602739726027397
Pokémon X / Y,CORE_RPG,3DS,Nintendo,2013,X/Y,https://www.vgchartz.com/game/71449/pokemon-xy/?region=All,71449,2013-10-12,1/6/2018,4.4,5.68,5.06,0.99,16.78,16.76,87.5,7.5,1,202 days,0.5534246575342465
Pokémon Art Academy,SPIN_OFF,3DS,Nintendo,2014,Art Academy,https://www.vgchartz.com/game/81812/pokemon-art-academy/?region=All,81812,2014-10-24,8/3/2018,0.17,0.18,0.12,0.03,0.5,,76.0,7.7,1,377 days,1.0328767123287672
Pokémon Omega Ruby/Pokémon Alpha Sapphire,REMAKE,3DS,Nintendo,2014,OR/AS,https://www.vgchartz.com/game/81906/pokemon-omega-rubypokemon-alpha-sapphire/?region=All,81906,2014-11-21,8/3/2018,3.15,4.78,3.98,0.82,14.67,14.63,82.5,7.5,1,28 days,0.07671232876712329
Pokémon Rumble World,SPIN_OFF,3DS,Nintendo,2015,Rumble World,https://www.vgchartz.com/game/85542/pokemon-rumble-world/?region=All,85542,2015-04-08,8/3/2018,0.09,0.0,0.02,0.0,0.11,,58.0,6.0,1,138 days,0.3780821917808219
Pokémon Super Mystery Dungeon,SPIN_OFF,3DS,Nintendo,2015,SMD,https://www.vgchartz.com/game/85570/pokemon-super-mystery-dungeon/?region=All,85570,2015-11-20,8/3/2018,0.35,0.51,0.46,0.09,1.67,1.67,69.0,8.3,1,226 days,0.6191780821917808
Pokémon Sun / Moon,CORE_RPG,3DS,Nintendo,2016,S/M,https://www.vgchartz.com/game/91783/pokemon-sunmoon/?region=All,91783,2016-11-18,8/3/2018,3.82,6.02,4.34,0.99,16.33,16.33,87.0,7.6,1,364 days,0.9972602739726028
Pokémon: Ultra Sun and Ultra Moon,CORE_UPGRADE,3DS,Nintendo,2017,US/UM,https://www.vgchartz.com/game/181292/pokemon-ultra-sun-and-ultra-moon/?region=All,181292,2017-11-17,8/3/2018,2.55,2.46,1.74,0.4,9.26,9.23,84.0,7.7,1,364 days,0.9972602739726028
Pokémon: Let's Go Pikachu Let's Go Eevee,REMAKE,NS,Nintendo,2018,LGPE,https://www.vgchartz.com/game/223377/pokemon-lets-go-pikachueevee/?region=All,223377,2018-11-16,1/31/2019,,,,,15.07,15.07,79.5,6.25,1,364 days,0.9972602739726028
Pokémon Sword / Shield,CORE_RPG,NS,Nintendo,2019,Sw/Sh,https://www.vgchartz.com/game/223748/pokemon-sword-shield/?region=All,223748,2019-11-15,11/21/2019,,,,,26.72,26.6,80.0,4.6,1,364 days,0.9972602739726028
Pokémon Mystery Dungeon: Rescue Team DX,SPIN_OFF,NS,Nintendo,2020,MD: RT DX,https://www.vgchartz.com/game/225926/pokemon-mystery-dungeon-rescue-team-dx/?region=All,225926,2020-03-06,8/5/2020,,,,,1.99,1.99,68.0,8.2,1,112 days,0.30684931506849317
New Pokémon Snap,SPIN_OFF,NS,Nintendo,2021,New Snap,https://www.vgchartz.com/game/226768/new-pokemon-snap/?region=All,226768,2021-04-30,6/17/2020,,,,,2.4,2.4,79.0,7.1,1,420 days,1.1506849315068493
Pokémon Brilliant Diamond / Shining Pearl,REMAKE,NS,Nintendo,2021,BD/SP,https://www.vgchartz.com/game/228356/pokemon-brilliant-diamond-shining-pearl/?region=All,228356,2021-11-19,2/26/2021,,,,,15.06,15.06,73.0,4.9,1,203 days,0.5561643835616439
Pokémon Legends: Arceus,SPIN_OFF,NS,Nintendo,2022,PLA,https://www.vgchartz.com/game/228357/pokemon-legends-arceus/?region=All,228357,2022-01-28,2/26/2021,,,,,14.83,14.83,83.0,8.1,1,70 days,0.1917808219178082
Pokémon Scarlet / Violet,CORE_RPG,NS,Nintendo,2022,S/V,https://www.vgchartz.com/game/230402/pokemon-scarlet-violet/?region=All,230402,2022-11-18,5/31/2022,,,,,26.79,26.38,71.5,3.75,0,294 days,0.8054794520547945
